City Code,City,Metro,County,State,Population Rank,Percent Change,Current Price,variable,value
12447,Los Angeles,Los Angeles,Los Angeles,CA,2,0.261108566193,2753,November 2010,2184.0
17426,Chicago,Chicago,Cook,IL,3,0.0549450549451,1632,November 2010,1563.0
39051,Houston,Houston,Harris,TX,4,0.192660550459,1430,November 2010,1198.0
13271,Philadelphia,Philadelphia,Philadelphia,PA,5,0.107861060329,1212,November 2010,1092.0
40326,Phoenix,Phoenix,Maricopa,AZ,6,0.164332399627,1247,November 2010,1087.0
18959,Las Vegas,Las Vegas,Clark,NV,7,0.0517826825127,1239,November 2010,1188.0
6915,San Antonio,San Antonio,Bexar,TX,8,0.205400192864,1250,November 2010,1057.0
54296,San Diego,San Diego,San Diego,CA,9,0.208516886931,2469,November 2010,2070.0
38128,Dallas,Dallas-Fort Worth,Dallas,TX,10,0.203287197232,1391,November 2010,1114.0
33839,San Jose,San Jose,Santa Clara,CA,11,0.392372881356,3286,November 2010,2359.0
25290,Jacksonville,Jacksonville,Duval,FL,12,0.125122189638,1151,November 2010,1006.0
20330,San Francisco,San Francisco,San Francisco,CA,13,0.374098463468,4382,November 2010,3188.0
32149,Indianapolis,Indianapolis,Marion,IN,14,0.0790790790791,1078,November 2010,998.0
10221,Austin,Austin,Travis,TX,15,0.356707317073,1780,November 2010,1293.0
18172,Fort Worth,Dallas-Fort Worth,Tarrant,TX,16,0.179245283019,1375,November 2010,1152.0
17762,Detroit,Detroit,Wayne,MI,17,-0.0985576923077,750,November 2010,847.0
10920,Columbus,Columbus,Franklin,OH,18,0.189765458422,1116,November 2010,933.0
32811,Memphis,Memphis,Shelby,TN,19,-0.00940070505288,843,November 2010,862.0
24043,Charlotte,Charlotte,Mecklenburg,NC,20,0.263671875,1294,November 2010,1024.0
17933,El Paso,El Paso,El Paso,TX,21,-0.0805555555556,993,November 2010,1085.0
44269,Boston,Boston,Suffolk,MA,22,0.410844046954,2524,November 2010,1783.0
16037,Seattle,Seattle,King,WA,23,0.429147465438,2481,November 2010,1746.0
3523,Baltimore,Baltimore,Baltimore City,MD,24,0.0856192851205,1306,November 2010,1192.0
11093,Denver,Denver,Denver,CO,25,0.490936555891,1974,November 2010,1318.0
41568,Washington,Washington,District of Columbia,DC,26,0.146363230701,2569,November 2010,2174.0
6118,Nashville,Nashville,Davidson,TN,27,0.338273757629,1535,November 2010,1165.0
7481,Tucson,Tucson,Pima,AZ,29,0.0688259109312,1056,November 2010,986.0
13373,Portland,Portland,Multnomah,OR,30,0.438854489164,1859,November 2010,1280.0
33225,Oklahoma City,Oklahoma City,Oklahoma,OK,31,0.055063913471,1073,November 2010,970.0
40152,Omaha,Omaha,Douglas,NE,32,0.107325383305,1300,November 2010,1175.0
18203,Fresno,Fresno,Fresno,CA,34,-0.000805152979066,1241,November 2010,1260.0
20288,Sacramento,Sacramento,Sacramento,CA,35,0.171339563863,1504,November 2010,1295.0
19331,Mesa,Phoenix,Maricopa,AZ,36,0.157323688969,1280,November 2010,1103.0
46298,Long Beach,Los Angeles,Los Angeles,CA,37,0.206808943089,2375,November 2010,1976.0
18795,Kansas City,Kansas City,Jackson,MO,38,0.172215843858,1021,November 2010,855.0
41515,Virginia Beach,Virginia Beach,Virginia Beach City,VA,39,0.0407055630936,1534,November 2010,1482.0
4172,Colorado Springs,Colorado Springs,El Paso,CO,40,0.173693086003,1392,November 2010,1186.0
37211,Atlanta,Atlanta,Fulton,GA,41,0.271171941831,1486,November 2010,1169.0
12700,Miami,Miami-Fort Lauderdale,Miami-Dade,FL,42,0.287299630086,2088,November 2010,1621.0
13072,Oakland,San Francisco,Alameda,CA,43,0.587004405286,2882,November 2010,1894.0
20859,Tulsa,Tulsa,Tulsa,OK,44,0.0722222222222,965,November 2010,896.0
24115,Cleveland,Cleveland,Cuyahoga,OH,45,0.0369003690037,843,November 2010,826.0
18615,Honolulu,Urban Honolulu,Honolulu,HI,46,0.131786542923,2439,November 2010,2197.0
5983,Minneapolis,Minneapolis-St Paul,Hennepin,MN,47,0.198924731183,1561,November 2010,1289.0
50763,Arlington,Dallas-Fort Worth,Tarrant,TX,50,0.192910140148,1447,November 2010,1207.0
54047,Raleigh,Raleigh,Wake,NC,51,0.159128978224,1384,November 2010,1190.0
7929,Wichita,Wichita,Sedgwick,KS,52,0.134007585335,897,November 2010,793.0
41176,Tampa,Tampa,Hillsborough,FL,53,0.184713375796,1302,November 2010,1092.0
16764,Anaheim,Los Angeles,Orange,CA,54,0.196879302432,2608,November 2010,2181.0
