City Code,Metro,County,Population Rank,Percent Change,Region,City,Year,Price
6181,New York,Queens,1,32.5342465753,Northeast,"New York, NY",December 2011,1746.0
12447,Los Angeles,Los Angeles,2,26.7495395948,California,"Los Angeles, CA",December 2011,2178.0
17426,Chicago,Cook,3,9.9730458221,Midwest,"Chicago, IL",December 2011,1483.0
39051,Houston,Harris,4,19.7654941374,Southwest,"Houston, TX",December 2011,1190.0
13271,Philadelphia,Philadelphia,5,12.2222222222,Northeast,"Philadelphia, PA",December 2011,1085.0
40326,Phoenix,Maricopa,6,21.185617104,Southwest,"Phoenix, AZ",December 2011,1029.0
18959,Las Vegas,Clark,7,8.9709762533,Rockies,"Las Vegas, NV",December 2011,1140.0
6915,San Antonio,Bexar,8,21.0067763795,Southwest,"San Antonio, TX",December 2011,1026.0
54296,San Diego,San Diego,9,22.2882615156,California,"San Diego, CA",December 2011,2013.0
38128,Dallas-Fort Worth,Dallas,10,26.1106074343,Southwest,"Dallas, TX",December 2011,1112.0
33839,San Jose,Santa Clara,11,39.2963119966,California,"San Jose, CA",December 2011,2346.0
25290,Jacksonville,Duval,12,10.7795957652,Florida,"Jacksonville, FL",December 2011,1043.0
20330,San Francisco,San Francisco,13,47.3436449227,California,"San Francisco, CA",December 2011,2958.0
32149,Indianapolis,Marion,14,13.7130801688,Midwest,"Indianapolis, IN",December 2011,948.0
10221,Austin,Travis,15,27.4158911954,Southwest,"Austin, TX",December 2011,1394.0
17762,Detroit,Wayne,17,-1.31578947368,Midwest,"Detroit, MI",December 2011,766.0
10920,Columbus,Franklin,18,15.2892561983,Midwest,"Columbus, OH",December 2011,960.0
32811,Memphis,Shelby,19,-0.354609929078,Southeast,"Memphis, TN",December 2011,849.0
24043,Charlotte,Mecklenburg,20,19.152854512,Mid-Atlantic,"Charlotte, NC",December 2011,1081.0
17933,El Paso,El Paso,21,-8.05555555556,Southwest,"El Paso, TX",December 2011,1070.0
44269,Boston,Suffolk,22,23.9077074129,Northeast,"Boston, MA",December 2011,2015.0
16037,Seattle,King,23,44.2441860465,Pacific NW,"Seattle, WA",December 2011,1715.0
3523,Baltimore,Baltimore City,24,8.11258278146,Mid-Atlantic,"Baltimore, MD",December 2011,1209.0
11093,Denver,Denver,25,46.1139896373,Rockies,"Denver, CO",December 2011,1358.0
41568,Washington,District of Columbia,26,10.0214132762,Mid-Atlantic,"Washington, DC",December 2011,2335.0
6118,Nashville,Davidson,27,32.3275862069,Southeast,"Nashville, TN",December 2011,1165.0
7481,Tucson,Pima,29,5.17928286853,Southwest,"Tucson, AZ",December 2011,1001.0
